age;genre;diplome;nationalite;gsp;sociopro;menage;position;choix;horaires;heures_plus;nafg017un;secteur
30-39a;Hommes;Sans diplôme;Français de naissance;Ouvriers;Ouvriers non qual industrie;Couple avec enfant(s);Autres, nr;Contrat subi;Temps complet 35-39h;Souhaite pas plus d'heures;C5;Fab autres prod indus
30-39a;Femmes;L2 ou équiv;Français de naissance;Employé-e-s;Employés admin du privé;Couple sans enfant;Employés;Contrat subi;Temps complet 35-39h;Souhaite pas plus d'heures;KZ;Autres secteurs
30-39a;Femmes;L2 ou équiv;Français de naissance;Employé-e-s;Employés admin du privé;Couple sans enfant;Employés;Contrat subi;Temps complet 35-39h;Souhaite pas plus d'heures;KZ;Autres secteurs
40-49a;Hommes;Sans diplôme;Français naturalisés;Ouvriers;Ouvriers qual manut, magasin, transport;Couple avec enfant(s);Autres, nr;Contrat subi;Temps complet +40h;Souhaite pas plus d'heures;00;Autres secteurs
40-49a;Hommes;Sans diplôme;Français naturalisés;Ouvriers;Ouvriers qual manut, magasin, transport;Couple avec enfant(s);Ouvriers qual, techniciens d'atelier;Contrat subi;Temps complet +40h;Souhaite plus d'heures;00;Autres secteurs
15-29a;Femmes;Bac techno/pro;Français de naissance;Ouvriers;Ouvriers non qual industrie;Couple avec enfant(s);Manoeuvres ou OS;Contrat choisi;Temps complet 35-39h;Souhaite pas plus d'heures;C1;Fabrication alimentaire et tabacs
30-39a;Hommes;CAP/BEP;Etrangers;Ouvriers;Ouvriers non qual industrie;Couple avec enfant(s);Manoeuvres ou OS;Contrat subi;Pas d'horaire habituel;Souhaite pas plus d'heures;FZ;Construction
30-39a;Hommes;CAP/BEP;Etrangers;Ouvriers;Ouvriers non qual industrie;Couple avec enfant(s);Manoeuvres ou OS;Contrat subi;Temps complet 35-39h;Souhaite pas plus d'heures;FZ;Construction
30-39a;Hommes;CAP/BEP;Etrangers;Ouvriers;Ouvriers non qual industrie;Couple avec enfant(s);Autres, nr;Contrat choisi;Temps complet 35-39h;Souhaite pas plus d'heures;C5;Fab autres prod indus
+50a;Hommes;CAP/BEP;Etrangers;Ouvriers;Ouvriers non qual industrie;Couple avec enfant(s);Manoeuvres ou OS;Contrat subi;Temps complet 35-39h;Souhaite plus d'heures;C5;Fab autres prod indus
15-29a;Hommes;Bac techno/pro;Français de naissance;Ouvriers;Ouvriers qual artisanat;Couple avec enfant(s);Ouvriers qual, techniciens d'atelier;Contrat choisi;Pas d'horaire habituel;Souhaite pas plus d'heures;FZ;Construction
15-29a;Hommes;Bac techno/pro;Français de naissance;Ouvriers;Ouvriers qual artisanat;Couple avec enfant(s);Ouvriers qual, techniciens d'atelier;Contrat choisi;Temps complet 35-39h;Souhaite pas plus d'heures;FZ;Construction
15-29a;Hommes;Sans diplôme;Français de naissance;Ouvriers;Ouvriers non qual industrie;Couple avec enfant(s);Autres, nr;Contrat subi;Temps complet 35-39h;Souhaite pas plus d'heures;HZ;Transports et entreposage
+50a;Hommes;CAP/BEP;Français de naissance;Ouvriers;Ouvriers qual industrie;Couple sans enfant;Ouvriers qual, techniciens d'atelier;Contrat subi;Temps complet 35-39h;Souhaite plus d'heures;C3;Fab élec, info, machines
+50a;Hommes;CAP/BEP;Français de naissance;Ouvriers;Ouvriers qual industrie;Couple sans enfant;Ouvriers qual, techniciens d'atelier;Contrat subi;Temps partiel;Souhaite pas plus d'heures;C5;Fab autres prod indus
30-39a;Hommes;CAP/BEP;Français de naissance;Ouvriers;Ouvriers qual manut, magasin, transport;Couple avec enfant(s);Autres, nr;Contrat subi;Temps complet 35-39h;Souhaite pas plus d'heures;00;Autres secteurs
40-49a;Femmes;Sans diplôme;Etrangers;Employé-e-s;Employés du public;Couple avec enfant(s);Employés;Contrat subi;Pas d'horaire habituel;Souhaite pas plus d'heures;OQ;Admin publiques
15-29a;Hommes;L2 ou équiv;Français de naissance;Professions intermédiaires;Technicien-ne-s;Couple avec enfant(s);Techniciens;Contrat subi;Temps complet +40h;Souhaite pas plus d'heures;C5;Fab autres prod indus
