annee;trim;catau2010r;metrodom;typmen7;age3;age5;coured;enfred;nfrred;sexe;acteu;acteu6;actif;actop;aidfam;ancchom;ancinact;contact;creaccp;dem;dispoc;gardeb;halor;inscont;mra;mrb;mrbbis;mrc;mrd;mrdbis;mre;mrec;mrf;mrg;mrgbis;mrh;mri;mrj;mrk;mrl;mrm;mrn;mro;mrpassa;mrpassb;mrpassc;mrs;nondic;nrec;nreca;nrecb;occref;officc;offre;pastra;pastrb;pastrf;percrev;rabs;raisnrec;raisnsou;raispas;sou;soua;soub;souc;sousempl;stche;temp;traref;typcont;typcontb;chpub;cse;cser;csp;cstot;cstotr;fonctc;nafg004un;nafg010un;nafg017un;nafg021un;nafg038un;nafg088un;pub3fp;qprc;stc;rdet;stat2;statoep;statut;statutr;titc;cstmn;cstplc;dispplc;duhab;gardea;hhc6;horaic;raison;raistp;stmn;stplc;tppred;txtppred;ancentr4;sitant;aac;csa;nafant;nafantg004n;dip11;cstotprm;identm;extrian;empnbh;hrec;hhce;hplusa;jourtr;nbtote;age;genre;diplome;nationalite;gsp;sociopro;menage;position;choix;horaires;heures_plus;public_prive;secteur
2018;3;1;1;4;30;30;1;1;1;1;1;1;1;1;NA;NA;NA;NA;NA;0;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;1;2;NA;NA;NA;NA;NA;NA;NA;NA;2;2;2;NA;NA;NA;NA;1;2;NA;1;67;6;67;67;6;NA;ET;BE;C5;C;CG;22;4;9;3;2;2;21;21;2;NA;NA;NA;NA;6;NA;4;2;NA;NA;2;2;1;NA;NA;NA;NA;NA;NA;NA;71;67;18;17667170041;35;NA;35;NA;5;NA;30-39a;Hommes;Sans diplôme;Français de naissance;Ouvriers;Ouvriers non qual industrie;Couple avec enfant(s);Autres, nr;Contrat subi;Temps complet 35-39h;Souhaite pas plus d'heures;Employeur privé;Fab autres prod indus
2018;1;1;1;3;30;30;1;2;1;2;1;1;1;1;NA;NA;NA;1;3;1;NA;NA;2;1;1;1;NA;2;2;2;1;1;2;2;1;NA;NA;NA;NA;NA;2;1;NA;NA;NA;NA;2;NA;1;2;NA;2;1;1;NA;NA;NA;NA;NA;NA;NA;NA;1;1;2;NA;NA;1;NA;1;1;2;1;54;5;54;54;5;6;EV;KZ;KZ;K;KZ;65;4;4;3;2;2;21;21;2;NA;NA;NA;NA;6;NA;4;1;NA;NA;2;2;1;NA;2;NA;NA;NA;NA;NA;31;54;102;15257770458;35;NA;35;NA;5;NA;30-39a;Femmes;L2 ou équiv;Français de naissance;Employé-e-s;Employés admin du privé;Couple sans enfant;Employés;Contrat subi;Temps complet 35-39h;Souhaite pas plus d'heures;Employeur privé;Autres secteurs
2018;2;1;1;3;30;30;1;2;1;2;1;1;1;1;NA;NA;NA;2;NA;0;NA;NA;2;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;1;1;NA;NA;NA;NA;NA;NA;NA;NA;2;2;2;NA;NA;NA;NA;1;NA;NA;1;54;5;54;54;5;6;EV;KZ;KZ;K;KZ;65;4;4;3;2;2;21;21;2;NA;NA;NA;NA;6;NA;4;1;NA;NA;2;2;1;NA;2;NA;NA;NA;NA;NA;31;54;103;16292354366;21;NA;35;NA;5;NA;30-39a;Femmes;L2 ou équiv;Français de naissance;Employé-e-s;Employés admin du privé;Couple sans enfant;Employés;Contrat subi;Temps complet 35-39h;Souhaite pas plus d'heures;Employeur privé;Autres secteurs
2018;1;1;1;4;30;40;1;1;2;1;1;1;1;1;NA;NA;NA;NA;NA;0;NA;NA;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;1;2;NA;NA;NA;NA;NA;NA;NA;NA;2;2;2;NA;NA;NA;NA;1;2;NA;1;65;6;65;65;6;NA;00;00;00;0;00;00;4;9;3;2;2;21;21;2;NA;NA;NA;NA;7;NA;5;1;NA;NA;2;2;1;NA;NA;NA;NA;NA;NA;NA;71;65;325;12654979654;40;NA;40;NA;5;NA;40-49a;Hommes;Sans diplôme;Français naturalisés;Ouvriers;Ouvriers qual manut, magasin, transport;Couple avec enfant(s);Autres, nr;Contrat subi;Temps complet +40h;Souhaite pas plus d'heures;Employeur privé;Autres secteurs
2018;2;1;1;4;30;40;1;1;2;1;1;1;1;1;NA;NA;NA;1;NA;0;NA;NA;2;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;1;2;NA;NA;NA;NA;NA;NA;NA;NA;2;2;2;NA;NA;NA;NA;1;2;NA;1;65;6;65;65;6;4;00;00;00;0;00;00;4;2;3;2;2;21;21;2;NA;NA;2;1;7;NA;5;1;NA;NA;NA;1;1;NA;NA;NA;NA;NA;NA;NA;71;65;326;12602542261;40;NA;40;45;5;NA;40-49a;Hommes;Sans diplôme;Français naturalisés;Ouvriers;Ouvriers qual manut, magasin, transport;Couple avec enfant(s);Ouvriers qual, techniciens d'atelier;Contrat subi;Temps complet +40h;Souhaite plus d'heures;Employeur privé;Autres secteurs
2018;3;1;1;4;15;15;1;1;1;2;1;1;1;1;NA;NA;NA;NA;NA;0;NA;NA;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;1;2;NA;NA;NA;NA;NA;NA;NA;NA;2;2;2;NA;NA;NA;NA;1;1;1;1;67;6;67;67;6;1;ET;BE;C1;C;CA;10;4;1;3;1;2;21;21;2;NA;NA;NA;NA;6;NA;4;1;NA;NA;2;2;1;NA;1;NA;NA;NA;NA;NA;42;63;421;15727677862;35;NA;35;NA;5;NA;15-29a;Femmes;Bac techno/pro;Français de naissance;Ouvriers;Ouvriers non qual industrie;Couple avec enfant(s);Manoeuvres ou OS;Contrat choisi;Temps complet 35-39h;Souhaite pas plus d'heures;Employeur privé;Fabrication alimentaire et tabacs
2018;2;1;1;4;30;30;1;1;3;1;1;1;1;1;NA;NA;NA;1;NA;0;NA;NA;2;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;2;2;2;NA;NA;NA;NA;1;2;NA;1;67;6;67;67;6;1;EU;FZ;FZ;F;FZ;42;4;1;3;2;2;21;21;2;NA;NA;NA;NA;9;NA;NA;NA;NA;NA;2;2;1;NA;NA;NA;1;NA;NA;NA;50;67;596;12370995046;41;NA;NA;NA;NA;NA;30-39a;Hommes;CAP/BEP;Etrangers;Ouvriers;Ouvriers non qual industrie;Couple avec enfant(s);Manoeuvres ou OS;Contrat subi;Pas d'horaire habituel;Souhaite pas plus d'heures;Employeur privé;Construction
2018;3;1;1;4;30;30;1;1;3;1;1;1;1;1;NA;NA;NA;1;NA;0;NA;NA;2;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;2;2;2;NA;NA;NA;NA;1;1;1;1;67;6;67;67;6;1;EU;FZ;FZ;F;FZ;42;4;1;3;2;2;21;21;2;NA;NA;NA;NA;6;NA;4;1;NA;NA;2;2;1;NA;NA;NA;NA;NA;NA;NA;50;67;597;13281627909;35;NA;35;NA;5;NA;30-39a;Hommes;CAP/BEP;Etrangers;Ouvriers;Ouvriers non qual industrie;Couple avec enfant(s);Manoeuvres ou OS;Contrat subi;Temps complet 35-39h;Souhaite pas plus d'heures;Employeur privé;Construction
2018;4;1;1;4;30;30;1;1;3;1;1;1;1;1;NA;NA;NA;2;NA;0;NA;NA;2;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;1;1;NA;NA;NA;NA;NA;NA;NA;NA;2;2;2;NA;NA;NA;NA;1;NA;NA;1;67;6;67;67;6;NA;ET;BE;C5;C;CM;31;4;9;3;1;2;21;21;2;NA;NA;NA;NA;6;NA;4;2;NA;NA;2;2;1;NA;NA;NA;NA;NA;NA;NA;50;67;598;15394828247;35;NA;35;NA;5;NA;30-39a;Hommes;CAP/BEP;Etrangers;Ouvriers;Ouvriers non qual industrie;Couple avec enfant(s);Autres, nr;Contrat choisi;Temps complet 35-39h;Souhaite pas plus d'heures;Employeur privé;Fab autres prod indus
2018;4;1;1;4;50;50;1;1;3;1;1;1;1;1;NA;NA;NA;NA;NA;0;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;2;NA;NA;NA;NA;1;NA;NA;1;67;6;67;67;6;NA;ET;BE;C5;C;CH;25;4;1;3;2;2;21;21;2;NA;NA;NA;2;6;NA;4;1;1;NA;NA;1;1;NA;2;NA;NA;NA;NA;NA;50;67;720;40052163148;37;NA;37;40;5;NA;+50a;Hommes;CAP/BEP;Etrangers;Ouvriers;Ouvriers non qual industrie;Couple avec enfant(s);Manoeuvres ou OS;Contrat subi;Temps complet 35-39h;Souhaite plus d'heures;Employeur privé;Fab autres prod indus
