type;variables;modalites;n;pourcentage;dim1_coord;dim1_contrib;dim1_cos2;dim1_vtest;dim2_coord;dim2_contrib;dim2_cos2;dim2_vtest;dim3_coord;dim3_contrib;dim3_cos2;dim3_vtest;dim4_coord;dim4_contrib;dim4_cos2;dim4_vtest
Variable active;Age;+50a;786;17,0;-0,23;0,41;0,01;-7,09;0,65;4,39;0,09;19,93;-0,17;0,33;0,01;-5,17;0,51;3,20;0,05;15,70
Variable active;Age;15-29a;1859;40,1;0,20;0,69;0,03;10,88;-0,72;13,00;0,35;-40,39;0,10;0,30;0,01;5,80;-0,13;0,50;0,01;-7,30
Variable active;Age;30-39a;1116;24,1;-0,06;0,04;0,00;-2,31;0,31;1,38;0,03;11,70;0,10;0,17;0,00;3,81;0,01;0,00;0,00;0,41
Variable active;Age;40-49a;871;18,8;-0,13;0,15;0,00;-4,32;0,57;3,79;0,08;18,72;-0,20;0,51;0,01;-6,48;-0,19;0,52;0,01;-6,37
Variable active;Choix du contrat;Contrat choisi;1925;41,6;-0,06;0,06;0,00;-3,17;-0,29;2,19;0,06;-16,77;0,12;0,45;0,01;7,15;0,32;3,18;0,07;18,64
Variable active;Choix du contrat;Contrat subi;2707;58,4;0,04;0,04;0,00;3,17;0,21;1,56;0,06;16,77;-0,09;0,32;0,01;-7,15;-0,23;2,26;0,07;-18,64
Variable active;Diplôme;Bac général;251;5,4;0,64;0,99;0,02;10,37;0,02;0,00;0,00;0,32;-1,02;3,97;0,06;-16,67;-1,13;5,06;0,07;-18,48
Variable active;Diplôme;Bac techno/pro;889;19,2;0,16;0,22;0,01;5,30;-0,87;9,03;0,18;-28,97;0,28;1,07;0,02;9,36;0,03;0,01;0,00;1,06
Variable active;Diplôme;Brevet collèges ou CEP;358;7,7;0,16;0,08;0,00;3,07;-0,50;1,21;0,02;-9,94;-0,54;1,59;0,02;-10,67;0,10;0,06;0,00;1,96
Variable active;Diplôme;CAP/BEP;1554;33,5;-0,41;2,60;0,09;-20,04;0,03;0,02;0,00;1,40;-0,15;0,53;0,01;-7,27;0,49;5,95;0,12;23,91
Variable active;Diplôme;L2 ou équiv;437;9,4;0,44;0,81;0,02;9,59;0,04;0,01;0,00;0,96;0,84;4,62;0,07;18,39;-0,11;0,09;0,00;-2,45
Variable active;Diplôme;L3 et sup;315;6,8;1,24;4,69;0,11;22,71;0,80;2,66;0,05;14,64;1,87;16,62;0,26;34,38;-0,42;0,88;0,01;-7,75
Variable active;Diplôme;Sans diplôme;828;17,9;-0,35;1,01;0,03;-11,25;0,77;6,53;0,13;24,44;-0,63;4,95;0,09;-19,98;-0,44;2,54;0,04;-14,04
Variable active;Genre;Femmes;1355;29,3;0,92;11,24;0,35;40,37;-0,07;0,08;0,00;-2,89;0,14;0,38;0,01;5,99;-0,04;0,04;0,00;-1,95
Variable active;Genre;Hommes;3277;70,7;-0,38;4,65;0,35;-40,37;0,03;0,03;0,00;2,89;-0,06;0,16;0,01;-5,99;0,02;0,02;0,00;1,95
Variable active;Souhaite travailler plus;Souhaite pas plus d'heures;3159;68,2;-0,18;0,98;0,07;-17,77;-0,02;0,02;0,00;-2,16;0,22;2,39;0,11;22,34;-0,01;0,01;0,00;-1,36
Variable active;Souhaite travailler plus;Souhaite plus d'heures;1473;31,8;0,38;2,10;0,07;17,77;0,05;0,04;0,00;2,16;-0,48;5,14;0,11;-22,34;0,03;0,02;0,00;1,36
Variable active;Horaire de travail;Pas d'horaire habituel;730;15,8;0,39;1,07;0,03;11,41;-0,58;3,29;0,06;-17,14;-0,42;1,96;0,03;-12,40;-0,27;0,85;0,01;-8,02
Variable active;Horaire de travail;Temps complet -35h;116;2,5;0,33;0,12;0,00;3,60;-0,44;0,30;0,00;-4,79;-0,92;1,48;0,02;-10,05;0,14;0,04;0,00;1,57
Variable active;Horaire de travail;Temps complet +40h;692;14,9;-0,53;1,87;0,05;-15,00;-0,12;0,13;0,00;-3,40;0,35;1,28;0,02;10,00;0,73;5,74;0,09;20,75
Variable active;Horaire de travail;Temps complet 35-39h;2712;58,5;-0,24;1,49;0,08;-19,19;0,13;0,64;0,03;10,78;0,16;1,07;0,04;13,08;-0,20;1,69;0,06;-16,12
Variable active;Horaire de travail;Temps partiel;382;8,2;1,80;12,02;0,29;36,66;0,52;1,35;0,02;10,52;-0,70;2,81;0,04;-14,25;0,57;1,97;0,03;11,70
Variable active;Nationalité;Etrangers;595;12,8;-0,15;0,14;0,00;-4,05;1,32;13,79;0,26;34,48;-0,51;2,33;0,04;-13,32;-1,09;11,13;0,18;-28,55
Variable active;Nationalité;Français de naissance;3799;82,0;0,03;0,03;0,00;4,17;-0,28;3,99;0,36;-40,83;0,08;0,38;0,03;11,83;0,14;1,22;0,09;20,78
Variable active;Nationalité;Français naturalisés;238;5,1;-0,07;0,01;0,00;-1,12;1,19;4,45;0,08;18,78;-0,03;0,00;0,00;-0,40;0,45;0,75;0,01;7,13
Variable active;Position dans l'emploi;Agents maîtrise, ingénieurs, cadres;119;2,6;0,90;0,95;0,02;9,99;1,09;1,89;0,03;12,06;3,47;21,56;0,32;38,30;-0,46;0,40;0,01;-5,13
Variable active;Position dans l'emploi;Autres, nr;1012;21,8;0,30;0,91;0,03;10,94;0,07;0,07;0,00;2,61;-0,54;4,43;0,08;-19,38;0,57;5,10;0,09;20,41
Variable active;Position dans l'emploi;Employés;748;16,1;1,35;13,32;0,35;40,37;0,06;0,04;0,00;1,85;0,08;0,06;0,00;2,26;-0,30;1,03;0,02;-8,87
Variable active;Position dans l'emploi;Manoeuvres ou OS;1410;30,4;-0,30;1,20;0,04;-13,28;-0,45;3,73;0,09;-20,06;-0,28;1,69;0,03;-12,70;-0,49;5,32;0,11;-22,09
Variable active;Position dans l'emploi;Ouvriers qual, techniciens d'atelier;1139;24,6;-0,83;7,60;0,22;-32,16;0,30;1,38;0,03;11,71;0,10;0,17;0,00;3,88;0,32;1,82;0,03;12,40
Variable active;Position dans l'emploi;Techniciens;204;4,4;-0,33;0,22;0,01;-4,86;0,17;0,08;0,00;2,53;1,76;9,58;0,14;25,78;0,15;0,08;0,00;2,26
Variable active;Public/Privé;Employeur privé;4450;96,1;-0,06;0,14;0,08;-18,84;-0,05;0,14;0,06;-16,26;-0,01;0,01;0,00;-4,65;-0,08;0,47;0,16;-27,50
Variable active;Public/Privé;Employeur public;182;3,9;1,37;3,32;0,08;18,84;1,18;3,38;0,06;16,26;0,34;0,31;0,00;4,65;2,00;11,38;0,16;27,50
Variable active;Secteur d'activité;Activ admin scientifqs et technqs;312;6,7;0,69;1,43;0,03;12,53;0,36;0,54;0,01;6,58;0,51;1,23;0,02;9,34;-0,79;3,05;0,05;-14,44
Variable active;Secteur d'activité;Admin publiques;185;4,0;1,88;6,41;0,15;26,16;0,87;1,85;0,03;12,03;-0,49;0,67;0,01;-6,82;2,03;11,91;0,17;28,14
